Abrogate,quash,10
Invalidate,quash,10
Rebut,quash,10
Refute,quash,10
Repress,quash,10
Rescind,quash,10
Revoke,quash,10
Suppress,quash,10
Vacate,quash,10
Vitiate,quash,10
Abusive,rude,10
Boorish,rude,10
Crass,rude,10
Flippant,rude,10
Irreverent,rude,10
Irreverential,rude,10
Mischievous,rude,10
Outlandish,rude,10
Presumptuous,rude,10
Ribald,rude,10
Control,rule,10
Dominance,rule,10
Judicature,rule,10
Jurisdiction,rule,10
Magistracy,rule,10
Norm,rule,10
Principle,rule,10
Regime,rule,10
Technic,rule,10
Underlie,rule,10
Abnormal,strange,10
Eccentric,strange,10
Exotic,strange,10
Extraordinary,strange,10
Grotesque,strange,10
Heteromorphic,strange,10
Inconceivable,strange,10
Inexplicable,strange,10
Uncommon,strange,10
Unnatural,strange,10
Conquer,subdue,10
Disarm,subdue,10
Enthrall,subdue,10
Humiliate,subdue,10
Intimidate,subdue,10
Muffle,subdue,10
Overpower,subdue,10
Overthrow,subdue,10
Repress,subdue,10
Suppress,subdue,10
Enormous,vast,10
Extensive,vast,10
Gigantic,vast,10
Immense,vast,10
Infinite,vast,10
Leviathan,vast,10
Massive,vast,10
Prodigious,vast,10
Tremendous,vast,10
Unlimited,vast,10
Abnormal,weird,10
Eccentric,weird,10
Erratic,weird,10
Exotic,weird,10
Extraordinary,weird,10
Frantic,weird,10
Heteromorphic,weird,10
Hideous,weird,10
Outlandish,weird,10
Whimsical,weird,10
Disappear,abandon,9
Discard,abandon,9
Eschew,abandon,9
Extradite,abandon,9
Forgo,abandon,9
Relinquish,abandon,9
Repudiate,abandon,9
Vacate,abandon,9
Waive,abandon,9
Accost,annoy,9
Badger,annoy,9
Embarrass,annoy,9
Exacerbate,annoy,9
Exasperate,annoy,9
Irk,annoy,9
Irritate,annoy,9
Perturb,annoy,9
Tantalize,annoy,9
Administrator,authority,9
Bureaucracy,authority,9
Commission,authority,9
Control,authority,9
Judicature,authority,9
Jurisdiction,authority,9
Legitimacy,authority,9
Magistracy,authority,9
Privilege,authority,9
Adjacency,block,9
Contiguity,block,9
Desistance,block,9
Deter,block,9
Exclude,block,9
Hinder,block,9
Impede,block,9
Intercept,block,9
Obstruct,block,9
Accurate,careful,9
Anxious,careful,9
Circumspect,careful,9
Discreet,careful,9
Frugal,careful,9
Judicious,careful,9
Protective,careful,9
Selective,careful,9
Suspicious,careful,9
Convivial,cheerful,9
Exuberant,cheerful,9
Happy-go-lucky,cheerful,9
Jocular,cheerful,9
Light-hearted,cheerful,9
Playful,cheerful,9
Pleasant,cheerful,9
Sanguine,cheerful,9
Sprightly,cheerful,9
Accurate,correct,9
Appropriate,correct,9
Decent,correct,9
Explicit,correct,9
Legitimate,correct,9
Modify,correct,9
Precise,correct,9
Rigorous,correct,9
Truthful,correct,9
Control,curb,9
Hinder,curb,9
Impede,curb,9
Inhibit,curb,9
Obstruct,curb,9
Rein,curb,9
Stifle,curb,9
Suppress,curb,9
Underlie,curb,9
Amputate,cut off,9
Boycott,cut off,9
Disconnect,cut off,9
Impede,cut off,9
Intercept,cut off,9
Interrupt,cut off,9
Obstruct,cut off,9
Suppress,cut off,9
Terminate,cut off,9
Course,development,9
Discipline,development,9
Effect,development,9
Emergence,development,9
Expansion,development,9
Extension,development,9
Formation,development,9
Preferment,development,9
Transition,development,9
Audible,distinct,9
aural,distinct,9
Conspicuous,distinct,9
Definite,distinct,9
Diverse,distinct,9
Legible,distinct,9
Noticeable,distinct,9
Palpable,distinct,9
Perceptible,distinct,9
Baritone,great,9
Excellent,great,9
Glorious,great,9
Immense,great,9
Massive,great,9
Memorable,great,9
Potent,great,9
Superb,great,9
Tremendous,great,9
Bleak,grim,9
Ghastly,grim,9
Grisly,grim,9
Hideous,grim,9
Lurid,grim,9
Merciless,grim,9
Morbid,grim,9
Ominous,grim,9
Somber,grim,9
Abominable,heinous,9
Atrocious,heinous,9
Egregious,heinous,9
Flagrant,heinous,9
Grievous,heinous,9
Infamous,heinous,9
Nefarious,heinous,9
Outrageous,heinous,9
Unspeakable,heinous,9
Agile,lively,9
Convivial,lively,9
Energetic,lively,9
Exuberant,lively,9
Hilarious,lively,9
nimble,lively,9
Playful,lively,9
Racy,lively,9
Sprightly,lively,9
Enormous,monstrous,9
Gigantic,monstrous,9
Grievous,monstrous,9
Grotesque,monstrous,9
Hideous,monstrous,9
Immense,monstrous,9
Infamous,monstrous,9
Leviathan,monstrous,9
Unspeakable,monstrous,9
Abnormal,peculiar,9
Characteristic,peculiar,9
Eccentric,peculiar,9
Exotic,peculiar,9
Heteromorphic,peculiar,9
Inexplicable,peculiar,9
Intrinsic,peculiar,9
Outlandish,peculiar,9
Uncommon,peculiar,9
Diurnal,perpetual,9
Habitual,perpetual,9
Incessant,perpetual,9
Indestructible,perpetual,9
Infinite,perpetual,9
Interminable,perpetual,9
Irrefragable,perpetual,9
Irrefrangible,perpetual,9
Permanent,perpetual,9
Affable,polite,9
Amicable,polite,9
Decent,polite,9
Decorous,polite,9
Diplomatic,polite,9
Genteel,polite,9
Pleasant,polite,9
Reverent,polite,9
Suave,polite,9
Forebode,presage,9
Forerun,presage,9
Foresee,presage,9
Foretell,presage,9
Portend,presage,9
Precede,presage,9
Preexist,presage,9
Prescience,presage,9
Prophesy,presage,9
Belie,repudiate,9
Contravene,repudiate,9
Disavow,repudiate,9
Disown,repudiate,9
Forswear,repudiate,9
Recant,repudiate,9
Refute,repudiate,9
Retract,repudiate,9
Supersede,repudiate,9
Intelligence,sense,9
Judgment,sense,9
Logic,sense,9
Mentality,sense,9
Perception,sense,9
Prehension,sense,9
Sensation,sense,9
Sensibility,sense,9
Significance,sense,9
Accurate,skillful,9
Adroit,skillful,9
Efficient,skillful,9
Excellent,skillful,9
Ingenious,skillful,9
Judicious,skillful,9
nimble,skillful,9
Proficient,skillful,9
Versatile,skillful,9
Futile,trivial,9
Immaterial,trivial,9
Inconsequential,trivial,9
Insignificant,trivial,9
Irrelevant,trivial,9
Negligible,trivial,9
Secondary,trivial,9
Slight,trivial,9
Superficial,trivial,9
Insight,understanding,9
Intelligence,understanding,9
Intimacy,understanding,9
Judgment,understanding,9
Mastery,understanding,9
Mentality,understanding,9
Pact,understanding,9
Recognizance,understanding,9
Significance,understanding,9
Absurd,unreasonable,9
Arbitrary,unreasonable,9
Exorbitant,unreasonable,9
Illogical,unreasonable,9
Inadmissible,unreasonable,9
Invalid,unreasonable,9
Preposterous,unreasonable,9
Unconscionable,unreasonable,9
Undue,unreasonable,9
Emphatic,vigorous,9
Energetic,vigorous,9
Enthusiastic,vigorous,9
Exuberant,vigorous,9
Militant,vigorous,9
Potent,vigorous,9
Productive,vigorous,9
Robust,vigorous,9
Tireless,vigorous,9
Decency,virtue,9
Differentia,virtue,9
Efficacy,virtue,9
Excellence,virtue,9
Excellency,virtue,9
Integrity,virtue,9
Morality,virtue,9
Prudery,virtue,9
Trait,virtue,9
Deficient,weak,9
Demulcent,weak,9
Dissentient,weak,9
Fragile,weak,9
Fragile,weak,9
Inadequate,weak,9
Inefficient,weak,9
Niggardly,weak,9
Vulnerable,weak,9
Abrogate,abolish,8
Eradicate,abolish,8
Invalidate,abolish,8
Overthrow,abolish,8
Rescind,abolish,8
Revoke,abolish,8
Suppress,abolish,8
Terminate,abolish,8
Decimate,annihilate,8
Demolish,annihilate,8
Depopulate,annihilate,8
Eradicate,annihilate,8
Negate,annihilate,8
Obliterate,annihilate,8
Uproot,annihilate,8
Vitiate,annihilate,8
Abrogate,annul,8
Invalidate,annul,8
Recant,annul,8
Rescind,annul,8
Revoke,annul,8
Supersede,annul,8
Terminate,annul,8
Vacate,annul,8
Cantata,arrangement,8
Concerto,arrangement,8
Formation,arrangement,8
Morphology,arrangement,8
Pact,arrangement,8
Preparation,arrangement,8
Sequence,arrangement,8
Technic,arrangement,8
Allay,assuage,8
Alleviate,assuage,8
Appease,assuage,8
Console,assuage,8
Mitigate,assuage,8
Mollify,assuage,8
Pacify,assuage,8
Placate,assuage,8
Guess,assumption,8
Hypothesis,assumption,8
Inference,assumption,8
Opinion,assumption,8
Premise,assumption,8
Presumption,assumption,8
